DB Version,Assembly Accession,Chromosome/Plasmid Name,Chromosome/Plasmid Xref,PGD Gene ID,Locus Tag,Feature Type,Start,End,Strand,Gene Name,Gene synonyns,Product Name,Product Name Confidence Class,Product Synonyms,RefSeq Accession,Length (nucleotides),Length (amino acids),Molecular Weight (predicted),Isoelectric Point (predicted),Subcellular Localization [Confidence Class]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657288,PA14_40040,CDS,3567590,3570019,+,,,hypothetical protein,,,YP_791346.1 ; WP_003139868.1,2430,810,89.7,6.48,Periplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657290,PA14_40050,CDS,3570016,3570753,+,,,hypothetical protein,,,YP_791347.1 ; WP_003088145.1,738,246,27.7,7.07,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657292,PA14_40060,CDS,3570750,3571139,+,,,hypothetical protein,,,YP_791348.1 ; WP_003139870.1,390,130,13.7,11.6,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657294,PA14_40070,CDS,3571228,3571851,+,,,glutathione S-transferase,,,YP_791349.1 ; WP_003088140.1,624,208,23.4,6.96,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657296,PA14_40080,CDS,3571865,3572848,-,,,hypothetical protein,,,YP_791350.1 ; WP_003139872.1,984,328,34.7,7.63,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657298,PA14_40100,CDS,3573078,3574487,+,,,hypothetical protein,,,YP_791351.1 ; WP_003139874.1,1410,470,52.3,6.93,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657300,PA14_40110,CDS,3574471,3575139,+,,,hypothetical protein,,,YP_791352.1 ; WP_003102715.1,669,223,24.3,7.68,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657302,PA14_40120,CDS,3575143,3577506,-,polB,,DNA polymerase II,,,YP_791353.1 ; WP_003139876.1,2364,788,89.6,7.28,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657304,PA14_40130,CDS,3577575,3578108,-,,,hypothetical protein,,,YP_791354.1 ; WP_003102722.1,534,178,19.4,6.53,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657306,PA14_40150,CDS,3578194,3578745,+,,,transcriptional regulator,,,YP_791355.1 ; WP_003139878.1,552,184,20.5,8.32,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657308,PA14_40160,CDS,3578742,3579140,-,,,NADH-ubiquinone/plastoquinone oxidoreductase,,,YP_791356.1 ; WP_003088123.1,399,133,14.7,10.29,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657310,PA14_40170,CDS,3579153,3579476,-,,,transporter,,,YP_791357.1 ; WP_003102734.1,324,108,11.4,10.32,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657312,PA14_40180,CDS,3579807,3580268,+,,,oxidoreductase,,,YP_791358.1 ; WP_003102736.1,462,154,16,7.66,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657314,PA14_40200,CDS,3580273,3582468,+,,,oxidoreductase,,,YP_791359.1 ; WP_003139882.1,2196,732,77.6,7.12,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657316,PA14_40210,CDS,3582626,3583180,+,,,hypothetical protein,,,YP_791360.1 ; WP_003088112.1,555,185,20.5,8.36,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657318,PA14_40220,CDS,3583268,3583846,+,,,hypothetical protein,,,YP_791361.1 ; WP_003110488.1,579,193,21.9,5.37,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657320,PA14_40230,CDS,3583955,3585142,-,,,secretion protein,,,YP_791362.1 ; WP_003139884.1,1188,396,44.2,7.59,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657322,PA14_40240,CDS,3585132,3587303,-,,,ABC transporter ATP-binding protein/permease,,,YP_791363.1 ; WP_003139887.1,2172,724,78.3,7.18,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657324,PA14_40250,CDS,3587293,3588570,-,,,outer membrane protein,,,YP_791364.1 ; WP_003139889.1,1278,426,48,5.64,Unknown (This protein may have multiple localization sites) [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657326,PA14_40260,CDS,3588570,3595940,-,,,hypothetical protein,,,YP_791365.1 ; ,7371,2457,236211.7,2.93,Unknown (This protein may have multiple localization sites) [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657328,PA14_40270,CDS,3597214,3598236,+,,,cation transporter,,,YP_791366.1 ; WP_003106674.1,1023,341,38.4,6.52,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657330,PA14_40280,CDS,3598297,3599088,+,,,hypothetical protein,,,YP_791367.1 ; WP_003106675.1,792,264,27.8,10.16,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657332,PA14_40290,CDS,3599215,3600471,-,lasA,,LasA protease,,,YP_791368.1 ; WP_003139897.1,1257,419,45.6,9.18,Outer Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657334,PA14_40300,CDS,3600755,3601180,-,,,hypothetical protein,,,YP_791369.1 ; WP_003139898.1,426,142,15.6,4.37,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657336,PA14_40310,CDS,3601464,3601703,-,,,acyl carrier protein,,,YP_791370.1 ; WP_003132735.1,240,80,8.9,3.77,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657338,PA14_40320,CDS,3601871,3604201,-,xqhA,,secretion protein XqhA,,,YP_791371.1 ; WP_003139899.1,2331,777,82.9,8.87,Outer Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657340,PA14_40330,CDS,3604188,3604715,-,,,hypothetical protein,,,YP_791372.1 ; WP_003113617.1,528,176,18.5,11.01,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657342,PA14_40340,CDS,3604857,3605066,-,,,hypothetical protein,,,YP_791373.1 ; WP_003088087.1,210,70,7.3,11.34,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657344,PA14_40350,CDS,3605156,3607432,-,,,hypothetical protein,,,YP_791374.1 ; WP_003088085.1,2277,759,85.6,8.35,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657346,PA14_40370,CDS,3607425,3609101,-,,,hypothetical protein,,,YP_791375.1 ; WP_003139900.1,1677,559,64.5,5.68,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657348,PA14_40380,CDS,3609235,3609885,+,,,TetR family transcriptional regulator,,,YP_791376.1 ; WP_003088072.1,651,217,23.9,8.19,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657350,PA14_40390,CDS,3610001,3610756,+,modA,,molybdate-binding periplasmic protein precursor modA,,,YP_791377.1 ; WP_003117674.1,756,252,26.4,8.66,Periplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657352,PA14_40410,CDS,3610769,3611455,+,modB,,molybdenum transport protein ModB,,,YP_791378.1 ; WP_003088068.1,687,229,24.4,8.96,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657354,PA14_40420,CDS,3611457,3612542,+,modC,,molybdenum transport protein ModC,,,YP_791379.1 ; WP_003098212.1,1086,362,39.8,8.49,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657356,PA14_40430,CDS,3612564,3613391,-,,,hypothetical protein,,,YP_791380.1 ; WP_003132742.1,828,276,32,6.89,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657358,PA14_40440,CDS,3613477,3614364,+,,,LysR family transcriptional regulator,,,YP_791381.1 ; WP_003088060.1,888,296,33.1,7.13,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657360,PA14_40450,CDS,3614373,3615194,+,str,,streptomycin 3''-phosphotransferase,,,YP_791382.1 ; WP_003088058.1,822,274,30.9,5.64,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657362,PA14_40470,CDS,3615195,3616649,-,,,TrkH family potassium uptake protein,,,YP_791383.1 ; WP_003088056.1,1455,485,53.2,8.93,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657364,PA14_40490,CDS,3616827,3617750,+,,,hypothetical protein,,,YP_791384.1 ; WP_003088054.1,924,308,31.6,7.16,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657366,PA14_40510,CDS,3618097,3619539,+,ccoN-2,,cbb3-type cytochrome c oxidase subunit I,,,YP_791385.1 ; WP_003139901.1,1443,481,53.8,9.62,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657368,PA14_40520,CDS,3619542,3619763,+,,,hypothetical protein,,,YP_791386.1 ; WP_003108719.1,222,74,7.9,5.02,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657370,PA14_40540,CDS,3619855,3621012,+,,,hypothetical protein,,,YP_791387.1 ; WP_003139903.1,1158,386,42.1,8.03,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657372,PA14_40550,CDS,3621000,3621863,-,,,LysR family transcriptional regulator,,,YP_791388.1 ; WP_003139905.1,864,288,32.4,6.05,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657374,PA14_40560,CDS,3622148,3622423,+,,,hypothetical protein,,,YP_791389.1 ; WP_003098204.1,276,92,10,4.93,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657376,PA14_40570,CDS,3622472,3623677,-,,,two-component response regulator,,,YP_791390.1 ; WP_003132751.1,1206,402,44.8,6,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657378,PA14_40600,CDS,3623926,3624930,+,,,transcriptional regulator,,,YP_791391.1 ; WP_003088040.1,1005,335,36.1,7.51,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657380,PA14_40610,CDS,3624953,3625195,+,,,hypothetical protein,,,YP_791392.1 ; WP_003088038.1,243,81,8.7,7.51,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657382,PA14_40620,CDS,3625200,3626369,+,,,MFS transporter,,,YP_791393.1 ; WP_003139908.1,1170,390,40.7,11.09,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657384,PA14_40630,CDS,3626428,3627012,-,,,hypothetical protein,,,YP_791394.1 ; WP_003088034.1,585,195,21.1,4.2,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657386,PA14_40640,CDS,3627135,3629423,-,cti,,cis/trans isomerase,,,YP_791395.1 ; WP_003139911.1,2289,763,86.6,6,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657388,PA14_40650,CDS,3629785,3630303,+,,,hypothetical protein,,,YP_791396.1 ; WP_003139919.1,519,173,18.7,4.51,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657390,PA14_40660,CDS,3630345,3630809,+,,,hypothetical protein,,,YP_791397.1 ; WP_003088027.1,465,155,16.4,8.8,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657392,PA14_40670,CDS,3631084,3634788,+,metH,,B12-dependent methionine synthase,,,YP_791398.1 ; WP_003139920.1,3705,1235,135,4.6,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657394,PA14_40690,CDS,3634803,3635165,+,,,hypothetical protein,,,YP_791399.1 ; WP_003098191.1,363,121,13.9,4.81,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657396,PA14_40700,CDS,3635217,3635714,-,,,hypothetical protein,,,YP_791400.1 ; WP_003122823.1,498,166,18.7,5.07,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657398,PA14_40710,CDS,3635728,3636090,-,,,hypothetical protein,,,YP_791401.1 ; WP_003122824.1,363,121,13.8,11.51,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657400,PA14_40730,CDS,3636128,3637168,+,,,ribosomal RNA large subunit methyltransferase N,,,YP_791402.1 ; WP_003139921.1,1041,347,38,9.31,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657402,PA14_40740,CDS,3637233,3637460,+,,,hypothetical protein,,,YP_791403.1 ; WP_003088007.1,228,76,8.3,10.49,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657404,PA14_40750,CDS,3637485,3637640,-,,,hypothetical protein,,,YP_791404.1 ; WP_004343031.1,156,52,5.6,5.65,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657406,PA14_40770,CDS,3637871,3639529,+,cysI,,sulfite reductase,,,YP_791405.1 ; WP_003098180.1,1659,553,62.1,5.9,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657408,PA14_40780,CDS,3639513,3640010,+,,,hypothetical protein,,,YP_791406.1 ; WP_003088003.1,498,166,18.8,4.66,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657410,PA14_40790,CDS,3640075,3640656,-,,,transcriptional regulator,,,YP_791407.1 ; WP_003098179.1,582,194,21.3,6.95,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657412,PA14_40800,CDS,3640779,3641216,+,,,hypothetical protein,,,YP_791408.1 ; WP_003098177.1,438,146,15.8,6.24,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657414,PA14_40820,CDS,3641311,3642186,+,,,hydrolase,,,YP_791409.1 ; WP_003087999.1,876,292,32.7,9.61,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657416,PA14_40830,CDS,3642173,3643165,-,,,oxidoreductase,,,YP_791410.1 ; WP_003087998.1,993,331,34.6,5.21,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657418,PA14_40840,CDS,3643224,3644249,-,,,periplasmic protease,,,YP_791411.1 ; WP_003087997.1,1026,342,38,8.93,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657420,PA14_40850,CDS,3644484,3645194,+,,,hypothetical protein,,,YP_791412.1 ; WP_003087996.1,711,237,26.4,6.29,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657422,PA14_40860,CDS,3645255,3645569,+,,,hypothetical protein,,,YP_791413.1 ; WP_003087993.1,315,105,11.1,4.02,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657424,PA14_40880,CDS,3645827,3646897,+,,,hypothetical protein,,,YP_791414.1 ; WP_003087989.1,1071,357,40.8,5.85,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657426,PA14_40890,CDS,3646922,3647689,+,,,short chain dehydrogenase,,,YP_791415.1 ; WP_003087987.1,768,256,26.9,7.41,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657428,PA14_40900,CDS,3647850,3648611,-,,,short-chain dehydrogenase,,,YP_791416.1 ; WP_003139925.1,762,254,26.2,9.69,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657430,PA14_40910,CDS,3648743,3649648,+,,,LysR family transcriptional regulatory protein,,,YP_791417.1 ; WP_003098166.1,906,302,33.5,11.28,Unknown (This protein may have multiple localization sites) [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657432,PA14_40930,CDS,3649645,3650289,-,,,hypothetical protein,,,YP_791418.1 ; WP_003139926.1,645,215,24,8.45,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657434,PA14_40940,CDS,3650390,3651169,+,,,hypothetical protein,,,YP_791419.1 ; WP_003139927.1,780,260,27.2,10.44,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657436,PA14_40950,CDS,3651137,3651973,-,nudC,,NADH pyrophosphatase,,,YP_791420.1 ; WP_003139928.1,837,279,31.3,4.91,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657438,PA14_40960,CDS,3651973,3653661,-,,,pilin biosynthetic protein,,,YP_791421.1 ; WP_003098159.1,1689,563,60.9,4.93,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657440,PA14_40980,CDS,3653701,3654513,-,,,enoyl-CoA hydratase,,,YP_791422.1 ; WP_003087972.1,813,271,30,5.43,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657442,PA14_41000,CDS,3654737,3656239,+,nhaB,,sodium/proton antiporter,,,YP_791423.1 ; WP_003087967.1,1503,501,54.2,7.48,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657444,PA14_41010,CDS,3656223,3657578,-,,,amino acid permease,,,YP_791424.1 ; WP_003087965.1,1356,452,47.8,8.55,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657446,PA14_41020,CDS,3657602,3659857,-,,,Orn/Arg/Lys decarboxylase,,,YP_791425.1 ; WP_003087961.1,2256,752,82.8,5.99,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657448,PA14_41030,CDS,3660051,3660440,+,,,hypothetical protein,,,YP_791426.1 ; WP_003132809.1,390,130,14.4,6.27,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657450,PA14_41050,CDS,3660468,3661208,-,dnaQ,,DNA polymerase III subunit epsilon,,,YP_791427.1 ; WP_003139929.1,741,247,26.8,5.02,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657452,PA14_41060,CDS,3661273,3661719,-,rnhA,,ribonuclease H,,,YP_791428.1 ; WP_003087954.1,447,149,16.7,8.72,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657454,PA14_41070,CDS,3661722,3662483,-,,,hypothetical protein,,,YP_791429.1 ; WP_003087952.1,762,254,28.4,9.56,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657456,PA14_41080,CDS,3662879,3663361,+,,,hydroxyacylglutathione hydrolase,,,YP_791430.1 ; ,483,161,18124.4,7.19,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657458,PA14_41090,CDS,3663439,3665043,+,mltD,,membrane-bound lytic murein transglycosylase D,,,YP_791431.1 ; WP_003120244.1,1605,535,59.7,10.28,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657460,PA14_41110,CDS,3665234,3667063,+,nppA1,,ABC transporter substrate-binding protein NppA1,Class 1,NppA1 ; solute-binding protein ; ABC transporter substrate-binding protein NppA1,YP_791432.1 ; WP_003098137.1,1830,610,70.1,10.08,Periplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657462,PA14_41130,CDS,3667060,3668907,+,nppA2,,ABC transporter substrate-binding protein NppA2,Class 1,NppA2 ; ABC transporter substrate-binding protein ; ABC transporter substrate-binding protein NppA2,YP_791433.1 ; WP_003087944.1,1848,616,70.4,6.45,Periplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657464,PA14_41140,CDS,3668914,3669996,+,nppB,,peptidyl nucleoside antibiotic ABC transporter permease NppB,Class 1,NppB ; ABC transporter permease ; peptidyl nucleoside antibiotic ABC transporter permease NppB,YP_791434.1 ; WP_003098134.1,1083,361,39.6,6.53,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657466,PA14_41150,CDS,3670001,3671020,+,nppC,,peptidyl nucleoside antibiotic ABC transporter permease NppC,Class 1,NppC ; ABC transporter permease ; peptidyl nucleoside antibiotic ABC transporter permease NppC,YP_791435.1 ; WP_011666703.1,1020,340,38,9.66,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657468,PA14_41160,CDS,3671022,3672632,+,nppD,,peptidyl nucleoside antibiotic ABC transporter ATP-binding protein NppD,Class 1,NppD ; ABC transporter ATP-binding protein ; peptidyl nucleoside antibiotic ABC transporter ATP-binding protein NppD,YP_791436.1 ; WP_003139933.1,1611,537,59,7.52,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657470,PA14_41170,CDS,3672654,3673451,+,fabI,,NADH-dependent enoyl-ACP reductase,,,YP_791437.1 ; WP_003139935.1,798,266,28,6.13,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657472,PA14_41190,CDS,3673549,3675414,-,ppiD,,peptidyl-prolyl cis-trans isomerase D,,,YP_791438.1 ; WP_003087933.1,1866,622,68.7,4.7,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657474,PA14_41200,tRNA,3675521,3675594,-,,,tRNA-Asp,,,,74,,,,
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657476,PA14_41210,CDS,3675646,3675918,-,hupB,,DNA-binding protein HU,,,YP_791439.1 ; WP_003087931.1,273,91,9.1,10.79,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657478,PA14_41220,CDS,3676054,3678450,-,lon,,Lon protease,,,YP_791440.1 ; WP_003124759.1,2397,799,88.7,6.02,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657480,PA14_41230,CDS,3678582,3679862,-,clpX,,ATP-dependent protease ATP-binding subunit ClpX,,,YP_791441.1 ; WP_003087924.1,1281,427,47,4.84,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657482,PA14_41240,CDS,3679967,3680608,-,clpP,,ATP-dependent Clp protease proteolytic subunit,,,YP_791442.1 ; WP_003098129.1,642,214,23.5,6.39,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657484,PA14_41250,CDS,3680702,3682012,-,tig,,trigger factor,,,YP_791443.1 ; WP_003087920.1,1311,437,48.6,4.52,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657486,PA14_41260,CDS,3682244,3682951,+,,,two-component response regulator,,,YP_791444.1 ; WP_003087915.1,708,236,26.6,6.52,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657488,PA14_41270,CDS,3682952,3684238,+,,,two-component sensor,,,YP_791445.1 ; WP_003087912.1,1287,429,48.4,5.24,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657490,PA14_41280,CDS,3684343,3686175,+,,,beta-lactamase,,,YP_791446.1 ; WP_003139940.1,1833,611,67.5,9.94,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657492,PA14_41290,CDS,3686172,3686288,+,,,hypothetical protein,,,YP_791447.1 ; WP_003139942.1,117,39,4.1,4.58,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657494,PA14_41300,CDS,3686462,3686683,-,,,hypothetical protein,,,YP_791448.1 ; WP_003087901.1,222,74,8.4,6.51,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657496,PA14_41320,tRNA,3687017,3687098,-,,,tRNA-Leu,,,,82,,,,
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657498,PA14_41330,tRNA,3687156,3687228,-,,,tRNA-His,,,,73,,,,
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657500,PA14_41340,tRNA,3687283,3687356,-,,,tRNA-Arg,,,,74,,,,
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657502,PA14_41350,CDS,3687635,3688489,+,folD,,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase",,,YP_791449.1 ; WP_003087898.1,855,285,30.5,5.8,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657504,PA14_41360,CDS,3688547,3689929,-,cysS,,cysteinyl-tRNA synthetase,,,YP_791450.1 ; WP_003139944.1,1383,461,51.3,5.27,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657506,PA14_41380,CDS,3689939,3691609,-,glnS,,glutaminyl-tRNA synthetase,,,YP_791451.1 ; WP_003139945.1,1671,557,63,5.64,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657508,PA14_41390,CDS,3691732,3692229,+,ppiB,,peptidyl-prolyl cis-trans isomerase B,,,YP_791452.1 ; WP_003087890.1,498,166,18.1,6.15,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657510,PA14_41400,CDS,3692234,3692956,+,,,"UDP-2,3-diacylglucosamine hydrolase",,,YP_791453.1 ; WP_003113585.1,723,241,27.6,8.15,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657512,PA14_41420,CDS,3693088,3694419,+,,,hypothetical protein,,,YP_791454.1 ; WP_003087885.1,1332,444,48.5,5.7,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657514,PA14_41430,CDS,3694468,3695091,-,,,hypothetical protein,,,YP_791455.1 ; WP_003139946.1,624,208,23.3,6.51,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657516,PA14_41440,CDS,3695262,3696125,+,,,hypothetical protein,,,YP_791456.1 ; WP_003139947.1,864,288,31.3,5.34,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1657518,PA14_41450,CDS,3696181,3696648,-,,,hypothetical protein,,,YP_791457.1 ; WP_003098041.1,468,156,18.2,7.86,Cytoplasmic [Class 3]
